No,;Time;Source;Destination;Protocol;Length;Info;;;;Time 1;Time 2;Delay;;Delay 1;Delay 2;Jitter
693;3,664885;114,4,169,236;192,168,43,157;TCP;2774;443  >  50275 [ACK] Seq=152468 Ack=4643 Win=75264 Len=2720 [TCP segment of a reassembled PDU];;;;3,664885;3,66507;0,000185;;-0,001681;0,001866;0,003547
694;3,66507;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=155188 Win=66560 Len=0;;;;3,66507;3,666936;0,001866;;0,000747;0,001119;0,000372
695;3,666936;114,4,169,236;192,168,43,157;TLSv1,3;1414;Application Data [TCP segment of a reassembled PDU];;;;3,666936;3,668055;0,001119;;0,000909;0,00021;-0,000699
696;3,668055;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=156548 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,668055;3,668265;0,00021;;-4,80E-05;0,000258;0,000306
697;3,668265;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=157908 Win=66560 Len=0;;;;3,668265;3,668523;0,000258;;4,50E-05;0,000213;0,000168
698;3,668523;114,4,169,236;192,168,43,157;TCP;2774;443  >  50275 [ACK] Seq=157908 Ack=4643 Win=75264 Len=2720 [TCP segment of a reassembled PDU];;;;3,668523;3,668736;0,000213;;-0,006792;0,007005;0,013797
699;3,668736;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=160628 Win=66560 Len=0;;;;3,668736;3,675741;0,007005;;0,005386;0,001619;-0,003767
700;3,675741;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=160628 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,675741;3,67736;0,001619;;0,001234;0,000385;-0,000849
701;3,67736;114,4,169,236;192,168,43,157;TCP;5494;443  >  50275 [ACK] Seq=161988 Ack=4643 Win=75264 Len=5440 [TCP segment of a reassembled PDU];;;;3,67736;3,677745;0,000385;;-0,005016;0,005401;0,010417
702;3,677745;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=167428 Win=66560 Len=0;;;;3,677745;3,683146;0,005401;;0,005089;0,000312;-0,004777
703;3,683146;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=167428 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,683146;3,683458;0,000312;;-0,002625;0,002937;0,005562
704;3,683458;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=168788 Win=66560 Len=0;;;;3,683458;3,686395;0,002937;;0,002595;0,000342;-0,002253
705;3,686395;114,4,169,236;192,168,43,157;TLSv1,3;6854;Application Data [TCP segment of a reassembled PDU];;;;3,686395;3,686737;0,000342;;-0,000652;0,000994;0,001646
706;3,686737;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=175588 Win=133120 Len=0;;;;3,686737;3,687731;0,000994;;0,000994;0;-0,000994
707;3,687731;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=175588 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,687731;3,687731;0;;-0,00041;0,00041;0,00082
708;3,687731;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=176948 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,687731;3,688141;0,00041;;-2,90E-05;0,000439;0,000468
709;3,688141;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=176948 Win=133120 Len=0;;;;3,688141;3,68858;0,000439;;0,00024;0,000199;-4,10E-05
710;3,68858;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [PSH, ACK] Seq=178308 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,68858;3,688779;0,000199;;-0,000744;0,000943;0,001687
711;3,688779;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=179668 Win=133120 Len=0;;;;3,688779;3,689722;0,000943;;-0,00019;0,001133;0,001323
712;3,689722;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=179668 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,689722;3,690855;0,001133;;0,001;0,000133;-0,000867
713;3,690855;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=181028 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,690855;3,690988;0,000133;;-0,001116;0,001249;0,002365
714;3,690988;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=182388 Win=133120 Len=0;;;;3,690988;3,692237;0,001249;;-0,007897;0,009146;0,017043
715;3,692237;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=182388 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,692237;3,701383;0,009146;;0,008593;0,000553;-0,00804
716;3,701383;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=183748 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,701383;3,701936;0,000553;;0,000171;0,000382;0,000211
717;3,701936;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=185108 Win=133120 Len=0;;;;3,701936;3,702318;0,000382;;-0,000146;0,000528;0,000674
718;3,702318;114,4,169,236;192,168,43,157;TLSv1,3;8214;Application Data [TCP segment of a reassembled PDU];;;;3,702318;3,702846;0,000528;;-0,000405;0,000933;0,001338
719;3,702846;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=193268 Win=133120 Len=0;;;;3,702846;3,703779;0,000933;;0,000756;0,000177;-0,000579
720;3,703779;114,4,169,236;192,168,43,157;TCP;2774;443  >  50275 [ACK] Seq=193268 Ack=4643 Win=75264 Len=2720 [TCP segment of a reassembled PDU];;;;3,703779;3,703956;0,000177;;-0,000555;0,000732;0,001287
721;3,703956;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=195988 Win=133120 Len=0;;;;3,703956;3,704688;0,000732;;-0,000928;0,00166;0,002588
722;3,704688;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=195988 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,704688;3,706348;0,00166;;0,001522;0,000138;-0,001384
723;3,706348;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=197348 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,706348;3,706486;0,000138;;-6,00E-05;0,000198;0,000258
724;3,706486;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=198708 Win=133120 Len=0;;;;3,706486;3,706684;0,000198;;-0,001194;0,001392;0,002586
725;3,706684;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=198708 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,706684;3,708076;0,001392;;0,001084;0,000308;-0,000776
726;3,708076;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=200068 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,708076;3,708384;0,000308;;0,000289;1,90E-05;-0,00027
727;3,708384;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=201428 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,708384;3,708403;1,90E-05;;-0,002054;0,002073;0,004127
728;3,708403;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=201428 Win=133120 Len=0;;;;3,708403;3,710476;0,002073;;0,001914;0,000159;-0,001755
729;3,710476;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=202788 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,710476;3,710635;0,000159;;1,20E-05;0,000147;0,000135
730;3,710635;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=204148 Win=133120 Len=0;;;;3,710635;3,710782;0,000147;;-0,002017;0,002164;0,004181
731;3,710782;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=204148 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,710782;3,712946;0,002164;;0,002014;0,00015;-0,001864
732;3,712946;114,4,169,236;192,168,43,157;TLSv1,3;1414;Application Data [TCP segment of a reassembled PDU];;;;3,712946;3,713096;0,00015;;-0,000275;0,000425;0,0007
733;3,713096;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=206868 Win=133120 Len=0;;;;3,713096;3,713521;0,000425;;0,000257;0,000168;-8,90E-05
734;3,713521;114,4,169,236;192,168,43,157;TCP;2774;443  >  50275 [ACK] Seq=206868 Ack=4643 Win=75264 Len=2720 [TCP segment of a reassembled PDU];;;;3,713521;3,713689;0,000168;;-0,009652;0,00982;0,019472
735;3,713689;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=209588 Win=266496 Len=0;;;;3,713689;3,723509;0,00982;;0,009211;0,000609;-0,008602
736;3,723509;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=209588 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,723509;3,724118;0,000609;;0,000386;0,000223;-0,000163
737;3,724118;114,4,169,236;192,168,43,157;TCP;4134;443  >  50275 [PSH, ACK] Seq=210948 Ack=4643 Win=75264 Len=4080 [TCP segment of a reassembled PDU];;;;3,724118;3,724341;0,000223;;-0,00121;0,001433;0,002643
738;3,724341;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=215028 Win=266496 Len=0;;;;3,724341;3,725774;0,001433;;0,000981;0,000452;-0,000529
739;3,725774;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=215028 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,725774;3,726226;0,000452;;0,000271;0,000181;-9,00E-05
740;3,726226;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=216388 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,726226;3,726407;0,000181;;-0,001664;0,001845;0,003509
741;3,726407;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=217748 Win=266496 Len=0;;;;3,726407;3,728252;0,001845;;0,001196;0,000649;-0,000547
742;3,728252;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=217748 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,728252;3,728901;0,000649;;0,000316;0,000333;1,70E-05
743;3,728901;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=219108 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,728901;3,729234;0,000333;;-5,10E-05;0,000384;0,000435
744;3,729234;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=220468 Win=266496 Len=0;;;;3,729234;3,729618;0,000384;;-0,000789;0,001173;0,001962
745;3,729618;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=220468 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,729618;3,730791;0,001173;;0,001173;0;-0,001173
746;3,730791;114,4,169,236;192,168,43,157;TLSv1,3;4134;Application Data [TCP segment of a reassembled PDU];;;;3,730791;3,730791;0;;-0,000362;0,000362;0,000724
747;3,730791;52,109,8,20;192,168,43,157;TCP;1414;443  >  50277 [ACK] Seq=1 Ack=216 Win=131840 Len=1360 [TCP segment of a reassembled PDU];;;;3,730791;3,731153;0,000362;;-0,007704;0,008066;0,01577
748;3,731153;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=225908 Win=266496 Len=0;;;;3,731153;3,739219;0,008066;;0,007744;0,000322;-0,007422
749;3,739219;52,109,8,20;192,168,43,157;TCP;1414;443  >  50277 [ACK] Seq=1361 Ack=216 Win=131840 Len=1360 [TCP segment of a reassembled PDU];;;;3,739219;3,739541;0,000322;;-2,50E-05;0,000347;0,000372
750;3,739541;192,168,43,157;52,109,8,20;TCP;54;50277  >  443 [ACK] Seq=216 Ack=2721 Win=66560 Len=0;;;;3,739541;3,739888;0,000347;;0,000347;0;-0,000347
751;3,739888;52,109,8,20;192,168,43,157;TCP;2774;443  >  50277 [ACK] Seq=2721 Ack=216 Win=131840 Len=2720 [TCP segment of a reassembled PDU];;;;3,739888;3,739888;0;;-0,000351;0,000351;0,000702
752;3,739888;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=225908 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,739888;3,740239;0,000351;;-0,004631;0,004982;0,009613
753;3,740239;192,168,43,157;52,109,8,20;TCP;54;50277  >  443 [ACK] Seq=216 Ack=5441 Win=66560 Len=0;;;;3,740239;3,745221;0,004982;;0,004652;0,00033;-0,004322
754;3,745221;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=227268 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,745221;3,745551;0,00033;;0,000259;7,10E-05;-0,000188
755;3,745551;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=228628 Win=266496 Len=0;;;;3,745551;3,745622;7,10E-05;;-8,60E-05;0,000157;0,000243
756;3,745622;114,4,169,236;192,168,43,157;TCP;2774;443  >  50275 [ACK] Seq=228628 Ack=4643 Win=75264 Len=2720 [TCP segment of a reassembled PDU];;;;3,745622;3,745779;0,000157;;-4,00E-06;0,000161;0,000165
757;3,745779;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=231348 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,745779;3,74594;0,000161;;-0,002391;0,002552;0,004943
758;3,74594;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=231348 Win=266496 Len=0;;;;3,74594;3,748492;0,002552;;0,002342;0,00021;-0,002132
759;3,748492;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=232708 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,748492;3,748702;0,00021;;-0,000616;0,000826;0,001442
760;3,748702;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=234068 Win=266496 Len=0;;;;3,748702;3,749528;0,000826;;0,000532;0,000294;-0,000238
761;3,749528;114,4,169,236;192,168,43,157;TLSv1,3;6854;Application Data [TCP segment of a reassembled PDU];;;;3,749528;3,749822;0,000294;;-0,000391;0,000685;0,001076
762;3,749822;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=240868 Win=266496 Len=0;;;;3,749822;3,750507;0,000685;;0,0004;0,000285;-0,000115
763;3,750507;114,4,169,236;192,168,43,157;TCP;4134;443  >  50275 [ACK] Seq=240868 Ack=4643 Win=75264 Len=4080 [TCP segment of a reassembled PDU];;;;3,750507;3,750792;0,000285;;-0,000375;0,00066;0,001035
764;3,750792;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=244948 Win=266496 Len=0;;;;3,750792;3,751452;0,00066;;0,000393;0,000267;-0,000126
765;3,751452;114,4,169,236;192,168,43,157;TCP;4134;443  >  50275 [ACK] Seq=244948 Ack=4643 Win=75264 Len=4080 [TCP segment of a reassembled PDU];;;;3,751452;3,751719;0,000267;;-0,000491;0,000758;0,001249
766;3,751719;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=249028 Win=266496 Len=0;;;;3,751719;3,752477;0,000758;;0,000513;0,000245;-0,000268
767;3,752477;114,4,169,236;192,168,43,157;TCP;4134;443  >  50275 [ACK] Seq=249028 Ack=4643 Win=75264 Len=4080 [TCP segment of a reassembled PDU];;;;3,752477;3,752722;0,000245;;-0,000336;0,000581;0,000917
768;3,752722;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=253108 Win=266496 Len=0;;;;3,752722;3,753303;0,000581;;0,000357;0,000224;-0,000133
769;3,753303;114,4,169,236;192,168,43,157;TLSv1,3;2774;Application Data [TCP segment of a reassembled PDU];;;;3,753303;3,753527;0,000224;;-0,001296;0,00152;0,002816
770;3,753527;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=255828 Win=266496 Len=0;;;;3,753527;3,755047;0,00152;;-0,006535;0,008055;0,01459
771;3,755047;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=255828 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,755047;3,763102;0,008055;;0,007668;0,000387;-0,007281
772;3,763102;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=257188 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,763102;3,763489;0,000387;;-0,000522;0,000909;0,001431
773;3,763489;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=258548 Win=266496 Len=0;;;;3,763489;3,764398;0,000909;;0,000568;0,000341;-0,000227
774;3,764398;114,4,169,236;192,168,43,157;TCP;9574;443  >  50275 [ACK] Seq=258548 Ack=4643 Win=75264 Len=9520 [TCP segment of a reassembled PDU];;;;3,764398;3,764739;0,000341;;-0,000504;0,000845;0,001349
775;3,764739;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=268068 Win=266496 Len=0;;;;3,764739;3,765584;0,000845;;0,000572;0,000273;-0,000299
776;3,765584;114,4,169,236;192,168,43,157;TLSv1,3;5494;Application Data [TCP segment of a reassembled PDU];;;;3,765584;3,765857;0,000273;;-0,00175;0,002023;0,003773
777;3,765857;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=273508 Win=266496 Len=0;;;;3,765857;3,76788;0,002023;;0,001747;0,000276;-0,001471
778;3,76788;114,4,169,236;192,168,43,157;TCP;6854;443  >  50275 [PSH, ACK] Seq=273508 Ack=4643 Win=75264 Len=6800 [TCP segment of a reassembled PDU];;;;3,76788;3,768156;0,000276;;-0,000948;0,001224;0,002172
779;3,768156;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=280308 Win=266496 Len=0;;;;3,768156;3,76938;0,001224;;0,000685;0,000539;-0,000146
780;3,76938;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=280308 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,76938;3,769919;0,000539;;0,000269;0,00027;1,00E-06
781;3,769919;114,4,169,236;192,168,43,157;TCP;2774;443  >  50275 [ACK] Seq=281668 Ack=4643 Win=75264 Len=2720 [TCP segment of a reassembled PDU];;;;3,769919;3,770189;0,00027;;-0,000205;0,000475;0,00068
782;3,770189;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=284388 Win=266496 Len=0;;;;3,770189;3,770664;0,000475;;0,000193;0,000282;8,90E-05
783;3,770664;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=284388 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,770664;3,770946;0,000282;;-0,000392;0,000674;0,001066
784;3,770946;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=285748 Win=266496 Len=0;;;;3,770946;3,77162;0,000674;;0,000406;0,000268;-0,000138
785;3,77162;114,4,169,236;192,168,43,157;TLSv1,3;4134;Application Data [TCP segment of a reassembled PDU];;;;3,77162;3,771888;0,000268;;-0,001169;0,001437;0,002606
786;3,771888;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=289828 Win=266496 Len=0;;;;3,771888;3,773325;0,001437;;0,001167;0,00027;-0,000897
787;3,773325;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=289828 Ack=4643 Win=75264 Len=1360 [TCP segment of a reassembled PDU];;;;3,773325;3,773595;0,00027;;-0,000616;0,000886;0,001502
788;3,773595;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=291188 Win=266496 Len=0;;;;3,773595;3,774481;0,000886;;0,000606;0,00028;-0,000326
789;3,774481;114,4,169,236;192,168,43,157;TCP;8214;443  >  50275 [ACK] Seq=291188 Ack=4643 Win=75264 Len=8160 [TCP segment of a reassembled PDU];;;;3,774481;3,774761;0,00028;;-0,000199;0,000479;0,000678
790;3,774761;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=299348 Win=266496 Len=0;;;;3,774761;3,77524;0,000479;;0,000249;0,00023;-1,90E-05
791;3,77524;114,4,169,236;192,168,43,157;TCP;2774;443  >  50275 [ACK] Seq=299348 Ack=4643 Win=75264 Len=2720 [TCP segment of a reassembled PDU];;;;3,77524;3,77547;0,00023;;-0,001194;0,001424;0,002618
792;3,77547;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=302068 Win=266496 Len=0;;;;3,77547;3,776894;0,001424;;-0,004801;0,006225;0,011026
793;3,776894;192,168,43,157;52,85,104,123;TCP;55;50165  >  443 [ACK] Seq=1 Ack=1 Win=260 Len=1 [TCP segment of a reassembled PDU];;;;3,776894;3,783119;0,006225;;0,006225;0;-0,006225
794;3,783119;114,4,169,236;192,168,43,157;TLSv1,3;6854;Application Data [TCP segment of a reassembled PDU];;;;3,783119;3,783119;0;;-0,000416;0,000416;0,000832
795;3,783119;114,4,169,236;192,168,43,157;TLSv1,3;447;Application Data;;;;3,783119;3,783535;0,000416;;0,000249;0,000167;-8,20E-05
796;3,783535;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=308868 Win=266496 Len=0;;;;3,783535;3,783702;0,000167;;-0,011479;0,011646;0,023125
797;3,783702;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=4643 Ack=309261 Win=265984 Len=0;;;;3,783702;3,795348;0,011646;;0,011646;0;-0,011646
798;3,795348;192,168,43,157;114,4,169,236;TCP;1414;50275  >  443 [ACK] Seq=4643 Ack=309261 Win=265984 Len=1360 [TCP segment of a reassembled PDU];;;;3,795348;3,795348;0;;-0,049535;0,049535;0,09907
799;3,795348;192,168,43,157;114,4,169,236;TLSv1,3;91;Application Data;;;;3,795348;3,844883;0,049535;;-0,220265;0,2698;0,490065
800;3,844883;114,4,169,236;192,168,43,157;TCP;54;443  >  50275 [ACK] Seq=309261 Ack=6040 Win=78080 Len=0;;;;3,844883;4,114683;0,2698;;0,2698;0;-0,2698
801;4,114683;52,85,104,123;192,168,43,157;TCP;66;443  >  50165 [ACK] Seq=1 Ack=2 Win=123 Len=0 SLE=1 SRE=2;;;;4,114683;4,114683;0;;0;0;0
802;4,114683;114,4,169,236;192,168,43,157;TLSv1,3;55814;Application Data, Application Data, Application Data, Application Data, Application Data;;;;4,114683;4,114683;0;;-0,000669;0,000669;0,001338
803;4,114683;52,109,8,20;192,168,43,157;TLSv1,2;603;Server Hello, Certificate, Certificate Status, Server Key Exchange, Server Hello Done;;;;4,114683;4,115352;0,000669;;-0,000934;0,001603;0,002537
804;4,115352;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=6040 Ack=365021 Win=266496 Len=0;;;;4,115352;4,116955;0,001603;;0,001215;0,000388;-0,000827
805;4,116955;114,4,169,236;192,168,43,157;TCP;5494;443  >  50275 [ACK] Seq=365021 Ack=6040 Win=78080 Len=5440 [TCP segment of a reassembled PDU];;;;4,116955;4,117343;0,000388;;-0,00194;0,002328;0,004268
806;4,117343;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=6040 Ack=370461 Win=266496 Len=0;;;;4,117343;4,119671;0,002328;;0,002135;0,000193;-0,001942
807;4,119671;114,4,169,236;192,168,43,157;TCP;2774;443  >  50275 [ACK] Seq=370461 Ack=6040 Win=78080 Len=2720 [TCP segment of a reassembled PDU];;;;4,119671;4,119864;0,000193;;-0,000491;0,000684;0,001175
808;4,119864;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=6040 Ack=373181 Win=266496 Len=0;;;;4,119864;4,120548;0,000684;;0,00028;0,000404;0,000124
809;4,120548;192,168,43,157;52,109,8,20;TLSv1,2;268;Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message;;;;4,120548;4,120952;0,000404;;-0,000169;0,000573;0,000742
810;4,120952;114,4,169,236;192,168,43,157;TCP;2774;443  >  50275 [PSH, ACK] Seq=373181 Ack=6040 Win=78080 Len=2720 [TCP segment of a reassembled PDU];;;;4,120952;4,121525;0,000573;;-0,000167;0,00074;0,000907
811;4,121525;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=6040 Ack=375901 Win=266496 Len=0;;;;4,121525;4,122265;0,00074;;0,000593;0,000147;-0,000446
812;4,122265;114,4,169,236;192,168,43,157;TLSv1,3;1414;Application Data [TCP segment of a reassembled PDU];;;;4,122265;4,122412;0,000147;;-0,001505;0,001652;0,003157
813;4,122412;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=6040 Ack=377261 Win=266496 Len=0;;;;4,122412;4,124064;0,001652;;0,001357;0,000295;-0,001062
814;4,124064;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=377261 Ack=6040 Win=78080 Len=1360 [TCP segment of a reassembled PDU];;;;4,124064;4,124359;0,000295;;7,90E-05;0,000216;0,000137
815;4,124359;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=378621 Ack=6040 Win=78080 Len=1360 [TCP segment of a reassembled PDU];;;;4,124359;4,124575;0,000216;;-0,008458;0,008674;0,017132
816;4,124575;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=6040 Ack=379981 Win=266496 Len=0;;;;4,124575;4,133249;0,008674;;0,007288;0,001386;-0,005902
817;4,133249;114,4,169,236;192,168,43,157;TCP;1414;443  >  50275 [ACK] Seq=379981 Ack=6040 Win=78080 Len=1360 [TCP segment of a reassembled PDU];;;;4,133249;4,134635;0,001386;;0,001074;0,000312;-0,000762
818;4,134635;114,4,169,236;192,168,43,157;TCP;9574;443  >  50275 [ACK] Seq=381341 Ack=6040 Win=78080 Len=9520 [TCP segment of a reassembled PDU];;;;4,134635;4,134947;0,000312;;0,000169;0,000143;-2,60E-05
819;4,134947;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=6040 Ack=390861 Win=266496 Len=0;;;;4,134947;4,13509;0,000143;;2,00E-05;0,000123;0,000103
820;4,13509;114,4,169,236;192,168,43,157;TLSv1,3;2774;Application Data [TCP segment of a reassembled PDU];;;;4,13509;4,135213;0,000123;;-0,00159;0,001713;0,003303
821;4,135213;192,168,43,157;114,4,169,236;TCP;54;50275  >  443 [ACK] Seq=6040 Ack=393581 Win=266496 Len=0;;;;4,135213;4,136926;0,001713;;0,001551;0,000162;-0,001389
